city,city_e
全国,National
01100 札幌市,01100 Sapporo
02201 青森市,02201 Aomori
03201 盛岡市,03201 Morioka
04100 仙台市,04100 Sendai
05201 秋田市,05201 Akita
06201 山形市,06201 Yamagata
07201 福島市,07201 Fukushima
08201 水戸市,08201 Mito
09201 宇都宮市,09201 Utsunomiya
10201 前橋市,10201 Maebashi
11100 さいたま市,11100 Saitama
12100 千葉市,12100 Chiba
13100 東京都区部,13100 Tokyo
14100 横浜市,14100 Yokohama
15100 新潟市,15100 Niigata
16201 富山市,16201 Toyama
17201 金沢市,17201 Kanazawa
18201 福井市,18201 Fukui
19201 甲府市,19201 Kofu
20201 長野市,20201 Nagano
21201 岐阜市,21201 Gifu
22100 静岡市,22100 Shizuoka
23100 名古屋市,23100 Nagoya
24201 津市,24201 Tsu
25201 大津市,25201 Ohtsu
26100 京都市,26100 Kyoto
27100 大阪市,27100 Osaka
28100 神戸市,28100 Kobe
29201 奈良市,29201 Nara
30201 和歌山市,30201 Wakayama
31201 鳥取市,31201 Tottori
32201 松江市,32201 Matsue
33100 岡山市,33100 Okayama
34100 広島市,34100 Hiroshima
35203 山口市,35203 Yamaguchi
36201 徳島市,36201 Tokushima
37201 高松市,37201 Takamatsu
38201 松山市,38201 Matsuyama
39201 高知市,39201 Kochi
40130 福岡市,40130 Fukuoka
41201 佐賀市,41201 Saga
42201 長崎市,42201 Nagasaki
43100 熊本市,43100 Kumamoto
44201 大分市,44201 Oita
45201 宮崎市,45201 Miyazaki
46201 鹿児島市,46201 Kagoshima
47201 那覇市,47201 Naha
14130 川崎市,14130 Kawasaki
14150 相模原市,14150 Sagamihara
22130 浜松市,22130 Hamamatsu
27140 堺市,27140 Sakai
40100 北九州市,40100 Kitakyushu
