"city"
"全国"
"01100 札幌市"
"02201 青森市"
"03201 盛岡市"
"04100 仙台市"
"05201 秋田市"
"06201 山形市"
"07201 福島市"
"08201 水戸市"
"09201 宇都宮市"
"10201 前橋市"
"11100 さいたま市"
"12100 千葉市"
"13100 東京都区部"
"14100 横浜市"
"15100 新潟市"
"16201 富山市"
"17201 金沢市"
"18201 福井市"
"19201 甲府市"
"20201 長野市"
"21201 岐阜市"
"22100 静岡市"
"23100 名古屋市"
"24201 津市"
"25201 大津市"
"26100 京都市"
"27100 大阪市"
"28100 神戸市"
"29201 奈良市"
"30201 和歌山市"
"31201 鳥取市"
"32201 松江市"
"33100 岡山市"
"34100 広島市"
"35203 山口市"
"36201 徳島市"
"37201 高松市"
"38201 松山市"
"39201 高知市"
"40130 福岡市"
"41201 佐賀市"
"42201 長崎市"
"43100 熊本市"
"44201 大分市"
"45201 宮崎市"
"46201 鹿児島市"
"47201 那覇市"
"14130 川崎市"
"14150 相模原市"
"22130 浜松市"
"27140 堺市"
"40100 北九州市"
